timestep,median,q05,q95,observed
22,298.0,283.0,314.0,353.5
23,291.0,275.95,306.0,344.5
24,284.0,269.0,299.0,339.5
25,277.0,263.0,292.0,336.0
26,270.5,256.0,285.0,318.0
27,265.0,251.0,279.0,316.0
28,259.0,244.0,272.0,309.5
29,253.0,238.0,266.0,303.5
30,248.0,233.0,261.0,296.0
31,242.0,227.95,255.0,288.5
32,237.0,223.0,250.0,281.5
33,232.0,218.0,246.0,275.5
34,227.0,214.0,241.0,270.5
35,223.0,208.0,236.0,263.5
36,219.0,204.0,232.0,258.5
37,214.0,200.0,227.0,251.0
38,210.0,196.0,223.0,248.0
39,206.0,192.0,220.0,238.0
40,202.0,188.0,215.0,234.5
41,198.0,185.0,210.04999999999995,230.0
42,195.0,181.0,207.0,223.0
43,191.0,178.0,204.0,211.0
44,188.0,175.0,200.0,209.0
45,185.0,172.0,197.0,204.5
46,182.0,168.0,194.0,201.5
47,178.0,165.0,190.0,190.0
48,175.0,162.0,188.0,188.0
49,172.0,159.0,185.0,180.5
50,169.0,156.0,182.0,180.5
51,166.0,154.0,179.0,175.0
52,164.0,151.0,176.0,174.0
53,161.0,148.95,174.0,167.5
54,159.0,147.0,171.0,160.0
55,156.0,144.0,168.04999999999995,156.0
56,154.0,142.0,166.0,153.0
57,151.0,140.0,163.0,147.0
58,149.0,138.0,161.0,141.0
59,147.0,135.95,159.0,139.0
60,144.0,133.0,157.0,136.5
61,142.0,131.0,154.0,134.5
62,140.0,129.95,152.0,130.5
63,139.0,128.0,150.0,128.5
64,136.0,125.0,147.04999999999995,127.5
65,134.0,124.0,145.04999999999995,118.0
66,132.0,122.0,144.0,115.5
67,131.0,120.0,142.0,115.5
68,129.0,118.95,140.0,110.5
69,127.0,117.0,139.0,105.5
70,125.0,115.0,136.0,103.5
71,124.0,113.0,135.0,101.5
72,122.0,112.0,133.0,98.5
73,120.0,111.0,131.0,98.0
74,119.0,109.0,130.0,95.5
