mode,override.merge.p_merge,override.phenotypes.proliferative.prolif_rate,scenario
data_t71_phase2,0.4,0.001,abm_00_data_t71_phase2__p_merge_0p4__prolif_rate_0p001
data_t71_phase2,0.5,0.001,abm_01_data_t71_phase2__p_merge_0p5__prolif_rate_0p001
data_t71_phase2,0.6,0.001,abm_02_data_t71_phase2__p_merge_0p6__prolif_rate_0p001
data_t71_phase2,0.7,0.001,abm_03_data_t71_phase2__p_merge_0p7__prolif_rate_0p001
data_t71_phase2,0.8,0.001,abm_04_data_t71_phase2__p_merge_0p8__prolif_rate_0p001
data_t71_phase2,0.9,0.001,abm_05_data_t71_phase2__p_merge_0p9__prolif_rate_0p001
data_t71_phase2,1.0,0.001,abm_06_data_t71_phase2__p_merge_1p0__prolif_rate_0p001
data_t71_phase2,0.4,0.002,abm_07_data_t71_phase2__p_merge_0p4__prolif_rate_0p002
data_t71_phase2,0.5,0.002,abm_08_data_t71_phase2__p_merge_0p5__prolif_rate_0p002
data_t71_phase2,0.6,0.002,abm_09_data_t71_phase2__p_merge_0p6__prolif_rate_0p002
data_t71_phase2,0.7,0.002,abm_10_data_t71_phase2__p_merge_0p7__prolif_rate_0p002
data_t71_phase2,0.8,0.002,abm_11_data_t71_phase2__p_merge_0p8__prolif_rate_0p002
data_t71_phase2,0.9,0.002,abm_12_data_t71_phase2__p_merge_0p9__prolif_rate_0p002
data_t71_phase2,1.0,0.002,abm_13_data_t71_phase2__p_merge_1p0__prolif_rate_0p002
data_t71_phase2,0.4,0.005,abm_14_data_t71_phase2__p_merge_0p4__prolif_rate_0p005
data_t71_phase2,0.5,0.005,abm_15_data_t71_phase2__p_merge_0p5__prolif_rate_0p005
data_t71_phase2,0.6,0.005,abm_16_data_t71_phase2__p_merge_0p6__prolif_rate_0p005
data_t71_phase2,0.7,0.005,abm_17_data_t71_phase2__p_merge_0p7__prolif_rate_0p005
data_t71_phase2,0.8,0.005,abm_18_data_t71_phase2__p_merge_0p8__prolif_rate_0p005
data_t71_phase2,0.9,0.005,abm_19_data_t71_phase2__p_merge_0p9__prolif_rate_0p005
data_t71_phase2,1.0,0.005,abm_20_data_t71_phase2__p_merge_1p0__prolif_rate_0p005
data_t71_phase2,0.4,0.01,abm_21_data_t71_phase2__p_merge_0p4__prolif_rate_0p01
data_t71_phase2,0.5,0.01,abm_22_data_t71_phase2__p_merge_0p5__prolif_rate_0p01
data_t71_phase2,0.6,0.01,abm_23_data_t71_phase2__p_merge_0p6__prolif_rate_0p01
data_t71_phase2,0.7,0.01,abm_24_data_t71_phase2__p_merge_0p7__prolif_rate_0p01
data_t71_phase2,0.8,0.01,abm_25_data_t71_phase2__p_merge_0p8__prolif_rate_0p01
data_t71_phase2,0.9,0.01,abm_26_data_t71_phase2__p_merge_0p9__prolif_rate_0p01
data_t71_phase2,1.0,0.01,abm_27_data_t71_phase2__p_merge_1p0__prolif_rate_0p01
data_t71_phase2,0.4,0.02,abm_28_data_t71_phase2__p_merge_0p4__prolif_rate_0p02
data_t71_phase2,0.5,0.02,abm_29_data_t71_phase2__p_merge_0p5__prolif_rate_0p02
data_t71_phase2,0.6,0.02,abm_30_data_t71_phase2__p_merge_0p6__prolif_rate_0p02
data_t71_phase2,0.7,0.02,abm_31_data_t71_phase2__p_merge_0p7__prolif_rate_0p02
data_t71_phase2,0.8,0.02,abm_32_data_t71_phase2__p_merge_0p8__prolif_rate_0p02
data_t71_phase2,0.9,0.02,abm_33_data_t71_phase2__p_merge_0p9__prolif_rate_0p02
data_t71_phase2,1.0,0.02,abm_34_data_t71_phase2__p_merge_1p0__prolif_rate_0p02
data_t71_phase2,0.4,0.05,abm_35_data_t71_phase2__p_merge_0p4__prolif_rate_0p05
data_t71_phase2,0.5,0.05,abm_36_data_t71_phase2__p_merge_0p5__prolif_rate_0p05
data_t71_phase2,0.6,0.05,abm_37_data_t71_phase2__p_merge_0p6__prolif_rate_0p05
data_t71_phase2,0.7,0.05,abm_38_data_t71_phase2__p_merge_0p7__prolif_rate_0p05
data_t71_phase2,0.8,0.05,abm_39_data_t71_phase2__p_merge_0p8__prolif_rate_0p05
data_t71_phase2,0.9,0.05,abm_40_data_t71_phase2__p_merge_0p9__prolif_rate_0p05
data_t71_phase2,1.0,0.05,abm_41_data_t71_phase2__p_merge_1p0__prolif_rate_0p05
data_t71_phase2,0.4,0.1,abm_42_data_t71_phase2__p_merge_0p4__prolif_rate_0p1
data_t71_phase2,0.5,0.1,abm_43_data_t71_phase2__p_merge_0p5__prolif_rate_0p1
data_t71_phase2,0.6,0.1,abm_44_data_t71_phase2__p_merge_0p6__prolif_rate_0p1
data_t71_phase2,0.7,0.1,abm_45_data_t71_phase2__p_merge_0p7__prolif_rate_0p1
data_t71_phase2,0.8,0.1,abm_46_data_t71_phase2__p_merge_0p8__prolif_rate_0p1
data_t71_phase2,0.9,0.1,abm_47_data_t71_phase2__p_merge_0p9__prolif_rate_0p1
data_t71_phase2,1.0,0.1,abm_48_data_t71_phase2__p_merge_1p0__prolif_rate_0p1
